id,crime,unemp,pop
12203,7239,12388,466608
12204,8783,17407,569835
12205,515,1278,50527
12206,2077,4487,122234
12207,6929,13062,472579
12208,2254,4485,151240
12210,1421,3188,93260
12211,2440,3041,121139
12212,2194,5009,171246
12213,1390,2304,61701
12215,1053,2317,70643
12216,2789,4608,158785
12217,5830,9846,380963
12218,297,634,22198
12219,5289,8117,280255
12220,2224,4400,152641
12221,3190,5078,180729
12222,1520,3520,131205
12223,422,816,36475
12224,1472,3051,102812
12225,1445,2824,90977
12226,553,1461,50162
12227,2677,3192,155290
12228,1422,2555,84770
12229,867,1808,59108
12230,1310,2725,75735
12231,1420,1814,81102
12232,921,1579,53005
12233,812,1666,51370
12234,318,971,44763
12235,479,1312,42086
12236,1071,2754,87332
12237,738,1961,59024
12238,468,1283,42305
12322,370,781,21385
12329,232,837,24377
12342,48,206,6705
12347,130,410,16950
12349,151,418,16166
12402,629,1588,49548
12403,311,637,19009
12409,135,231,8389
12410,268,692,25981
12421,201,402,11656
12422,58,240,7838
12423,200,475,14543
12424,109,572,12850
12426,123,300,8564
12427,61,301,9824
12441,120,340,11514
12443,107,208,7942
12463,69,223,9778
13101,4277,631,41778
13102,3376,1891,98399
13103,5366,3059,185861
13104,10830,9953,305716
13105,2437,4451,189632
13106,5356,5653,165186
13107,4412,8404,231173
13108,6968,14514,420845
13109,4880,9068,346357
13110,3114,5510,264064
13111,9187,16623,665674
13112,10182,17103,841165
13113,7279,4737,203334
13114,4759,9610,310627
13115,6858,12933,528587
13116,7846,6452,250585
13117,5034,14393,330412
13118,3325,7803,191207
13119,8276,16920,523083
13120,9062,14703,692339
13121,11115,24083,624807
13122,6233,16253,424878
13123,10231,18709,653944
13201,8574,14239,560012
13202,5043,6420,172566
13203,3182,3257,137525
13204,1890,3808,177016
13205,1482,3691,142354
13206,2798,5938,245623
13207,1887,4250,110143
13208,3501,6009,216119
13209,5276,10675,405534
13210,3169,2589,114112
13211,2453,4357,183796
13212,1888,4495,176538
13213,2808,4001,144929
13214,0,2843,117604
13215,0,1888,72667
13218,2750,1890,61074
13219,0,2232,78319
13220,2155,2393,79353
13221,0,3014,73529
13222,0,3560,115330
13223,0,2048,66553
13224,2348,3875,145877
13225,0,2147,76492
13227,0,1666,56514
13228,326,1975,79587
13229,3673,4909,189735
13303,0,1077,33691
13305,0,455,15941
13307,0,84,2930
13308,0,194,6741
13361,32,143,8702
13362,0,2,308
13363,16,42,3161
13364,0,31,2068
13381,7,80,2439
13382,0,0,292
13401,31,285,8837
13402,0,0,214
13421,16,41,2723
14100,37488,97464,3579628
14130,15245,40201,1327011
14201,3739,13140,426178
14203,3535,8538,258958
14204,1147,3933,171158
14205,5027,10757,396014
14206,2473,5258,198741
14207,2002,5855,228420
14208,368,1520,58033
14209,9904,20170,701630
14210,339,1430,49861
14211,1168,4645,168317
14212,3709,6644,222403
14213,3801,7130,221220
14214,1048,3180,100579
14215,1652,3673,123764
14216,1396,3424,128174
14217,329,1125,44134
14218,963,2595,81767
14301,141,797,31531
14321,582,1549,47457
14341,277,849,32590
14342,252,777,30247
14361,58,212,10173
14362,234,422,17530
14363,98,337,12399
14364,76,318,12655
14366,156,410,15123
14382,143,327,14206
14383,40,284,8714
14384,186,859,27430
14401,549,1496,42045
14402,22,79,3507
15100,9792,23803,813847
15202,2353,6936,288457
15204,919,3225,104749
15205,668,2095,94648
15206,1035,2832,104634
15208,281,806,39956
15209,228,869,31482
15210,319,1202,62058
15211,363,1071,42668
15212,527,1616,70705
15213,758,2042,83269
15216,326,919,49844
15217,276,717,37831
15218,416,1576,56962
15222,1677,4688,208082
15223,320,1267,47043
15224,318,1300,67386
15225,240,804,43555
15226,473,1245,63329
15227,244,940,32813
15307,121,351,13497
15342,52,192,8545
15361,63,447,13363
15385,67,341,14703
15405,21,108,5338
15461,197,219,8713
15482,41,169,11719
15504,28,76,4806
15581,50,108,7019
15586,0,7,438
16201,4067,9906,421239
16202,1682,4956,181229
16204,416,1103,46331
16205,265,1384,54495
16206,279,793,34002
16207,211,977,42694
16208,332,949,49429
16209,117,684,33533
16210,204,1279,58140
16211,645,2374,94209
16321,7,36,2673
16322,113,639,23039
16323,111,571,28011
16342,147,608,28005
16343,96,341,14700
17201,4249,11079,454607
17202,334,1768,61871
17203,878,2626,109084
17204,77,736,32823
17205,27,404,18050
17206,590,2668,74982
17207,130,766,24517
17209,162,914,34847
17210,623,2457,109450
17211,222,1110,47207
17324,51,93,5677
17344,688,1109,47977
17361,328,818,35712
17365,162,701,26896
17384,97,486,23790
17386,45,430,15236
17407,70,507,18959
17461,34,240,10549
17463,38,551,21792
18201,2797,6217,269144
18202,617,1844,68402
18204,234,797,32182
18205,161,818,37843
18206,103,538,26961
18207,484,1406,66831
18208,190,779,31081
18209,572,2125,87742
18210,650,2109,92318
18322,80,394,20764
18382,6,45,3405
18404,53,269,12274
18423,168,506,23995
18442,46,258,11023
18481,64,254,11630
18483,33,179,9217
18501,100,250,16780
19201,2516,6600,199749
19202,377,1448,52572
19204,189,773,35017
19205,275,1008,38686
19206,113,834,30879
19207,289,1093,33801
19208,559,1870,72055
19209,373,1074,48144
19210,789,2119,74062
19211,724,2038,71711
19212,166,802,28986
19213,266,957,35922
19214,308,887,31650
19346,137,491,17939
19364,4,28,1534
19365,111,405,16334
19366,34,303,10254
19368,94,571,17405
19384,360,489,16764
19422,14,55,2051
19423,12,135,4850
19424,28,157,8490
19425,97,106,5440
19429,50,63,2958
19430,236,696,23943
19442,2,33,1018
19443,5,17,780
20201,4310,9372,386572
20202,3384,6919,242541
20203,1752,4718,163651
20204,506,1379,54699
20205,845,2123,108624
20206,525,1656,53240
20207,430,1336,53668
20208,367,1777,45499
20209,523,2095,71788
20210,257,586,34417
20211,383,1097,46788
20212,261,923,32145
20213,137,489,24960
20214,474,1231,57099
20215,660,1615,68346
20217,987,2864,100462
20218,401,2001,64022
20219,257,1127,31271
20220,800,2148,96266
20303,18,116,5663
20304,33,45,4759
20305,17,40,3494
20306,2,13,1151
20307,3,7,942
20309,63,399,12980
20321,184,412,17144
20323,104,428,14124
20324,30,163,8237
20349,21,98,4774
20350,45,191,7304
20361,173,521,22863
20362,104,338,15528
20363,33,159,7456
20382,150,489,21801
20383,156,582,26276
20384,58,173,10570
20385,124,289,13620
20386,21,91,5263
20388,57,169,8968
20402,65,304,14117
20403,82,194,12976
20404,16,83,5972
20407,45,164,7548
20409,7,48,688
20410,5,16,1253
20411,14,81,4210
20412,2,9,735
20413,17,49,2002
20414,5,32,2062
20415,21,128,6912
20416,23,105,7068
20417,14,33,1356
20422,13,106,5770
20423,14,69,5238
20425,21,65,3361
20429,2,17,1097
20430,22,76,4457
20432,79,307,13900
20446,14,32,3204
20448,11,62,2160
20450,45,138,8195
20451,21,88,4875
20452,28,158,5702
20481,46,282,10630
20482,90,243,10072
20485,126,312,9500
20486,53,176,3920
20521,97,454,16463
20541,86,226,11477
20543,30,177,7654
20561,99,426,14704
20562,48,77,5312
20563,31,100,4259
20583,54,214,9927
20588,17,77,3371
20590,48,212,12504
20602,92,33,2488
21201,7322,12901,413367
21202,2720,4344,162070
21203,713,1988,96231
21204,1184,2666,114876
21205,1220,2269,92597
21206,520,1646,84080
21207,210,603,23390
21208,435,901,42065
21209,938,1644,66730
21210,421,1106,55761
21211,846,1230,52133
21212,576,1660,62102
21213,2325,4222,144174
21214,1430,2528,97686
21215,262,753,30316
21216,961,1451,50009
21217,119,472,28902
21218,724,804,34603
21219,385,740,47495
21220,250,649,38494
21221,532,1009,39453
21302,656,777,22776
21303,336,736,22696
21341,370,1040,32550
21361,338,758,28895
21362,80,219,8618
21381,179,600,20830
21382,95,225,9419
21383,158,394,15263
21401,158,601,26192
21403,213,647,23788
21404,209,537,24559
21421,380,592,17547
21501,120,242,8552
21502,45,160,5710
21503,109,220,10838
21504,27,70,4870
21505,60,226,12935
21506,39,156,10545
21507,8,27,2854
21521,226,429,19272
21604,19,13,1983
22100,8140,19890,723323
22130,9464,17951,804032
22203,3299,6478,208005
22205,512,1322,41202
22206,1249,3019,112241
22207,1133,3430,131476
22208,710,2150,72441
22209,804,2323,102108
22210,3125,6605,253297
22211,1586,4073,170899
22212,1412,3859,143101
22213,1053,2548,117857
22214,1173,3327,141944
22215,1233,1982,85976
22216,830,1863,82991
22219,247,828,26557
22220,438,1169,53062
22221,674,1366,60994
22222,244,805,36627
22223,255,755,35272
22224,348,860,47502
22225,623,1384,50011
22226,327,995,50645
22301,87,470,15165
22302,40,198,8303
22304,46,245,10003
22305,22,136,8104
22306,32,266,10372
22325,430,1209,38803
22341,502,930,31961
22342,476,960,38716
22344,145,405,21478
22424,273,627,28648
22429,17,149,8988
22461,120,410,20273
23100,56444,64879,2215062
23201,5964,9295,372479
23202,5530,7387,363807
23203,7436,9736,371687
23204,1833,3150,131925
23205,1672,2914,115845
23206,5600,7950,295802
23207,3071,4171,181444
23208,1334,1694,65547
23209,949,1203,71408
23210,3479,2552,142134
23211,6992,7456,412141
23212,3627,3276,170250
23213,1741,2181,104321
23214,1119,1825,82108
23215,1109,1765,74294
23216,732,1031,51265
23217,1934,2402,99055
23219,3400,3612,147182
23220,2554,3096,136965
23221,415,1151,52178
23222,1887,2542,104339
23223,1452,1560,80262
23224,821,1765,83373
23225,1883,1574,66085
